server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;1;1.0;15.0;0;18;13.0;14.0
2;3;3.0;11.0;1;0;8.0;8.0
3;3;3.0;4.0;5;2;2.0;1.0
4;3;3.0;13.0;6;6;10.0;10.0
5;3;3.0;12.0;3;12;9.0;9.0
6;3;3.0;25.0;2;18;22.0;22.0
7;3;3.0;12.0;4;26;10.0;9.0
8;3;3.0;19.0;8;3;16.0;16.0
9;7;7.0;9.0;10;2;1.0;2.0
11;7;7.0;12.0;12;28;5.0;5.0
17;7;7.0;23.0;13;7;17.0;16.0
12;7;7.0;9.0;11;1;3.0;2.0
14;7;7.0;13.0;9;21;6.0;6.0
15;9;9.0;23.0;15;0;15.0;14.0
3;9;9.0;12.0;14;2;2.0;3.0
9;9;9.0;11.0;16;2;1.0;2.0
12;10;10.0;35.0;17;18;26.0;25.0
9;10;11.0;29.0;18;21;18.0;18.0
2;10;11.0;36.0;19;8;24.0;25.0
3;12;12.0;13.0;21;2;2.0;1.0
11;12;12.0;15.0;22;28;5.0;3.0
5;12;12.0;22.0;23;6;9.0;10.0
7;12;12.0;22.0;20;26;10.0;10.0
0;15;15.0;44.0;24;6;29.0;29.0
3;16;16.0;18.0;26;1;4.0;2.0
14;16;16.0;18.0;25;11;2.0;2.0
10;21;21.0;22.0;28;10;1.0;1.0
13;21;21.0;43.0;27;11;21.0;22.0
18;22;22.0;45.0;29;20;25.0;23.0
19;22;22.0;49.0;30;3;27.0;27.0
10;24;24.0;28.0;31;10;1.0;4.0
3;24;24.0;36.0;33;25;15.0;12.0
11;24;24.0;32.0;32;23;8.0;8.0
16;27;27.0;54.0;36;29;27.0;27.0
14;27;27.0;37.0;37;22;8.0;10.0
4;27;27.0;37.0;35;25;12.0;10.0
1;27;27.0;47.0;38;23;18.0;20.0
10;29;29.0;30.0;41;10;1.0;1.0
15;29;29.0;44.0;39;13;16.0;15.0
8;29;29.0;53.0;40;2;23.0;24.0
10;30;30.0;37.0;46;15;8.0;7.0
17;30;30.0;47.0;48;26;16.0;17.0
7;30;30.0;31.0;51;17;2.0;1.0
9;30;30.0;32.0;50;19;2.0;2.0
6;30;30.0;34.0;44;28;4.0;4.0
7;31;31.0;33.0;56;23;5.0;2.0
11;31;32.0;51.0;57;11;19.0;19.0
9;30;32.0;38.0;42;29;2.0;6.0
7;30;33.0;43.0;54;26;10.0;10.0
6;30;34.0;35.0;47;0;1.0;1.0
12;30;35.0;36.0;49;23;2.0;1.0
6;30;35.0;41.0;45;28;4.0;6.0
3;36;36.0;58.0;62;23;22.0;22.0
12;30;36.0;38.0;53;3;3.0;2.0
